Fondo,Fecha,Valor
111,11/26/17,106.3604387
111,11/27/17,106.425671
111,11/28/17,106.454588
111,11/29/17,106.4942384
111,11/30/17,106.5007642
111,12/1/17,106.4936975
111,12/2/17,106.5132655
111,12/3/17,106.5328324
111,12/4/17,106.5272618
111,12/5/17,106.5379736
111,12/6/17,106.5568874
111,12/7/17,106.5663411
111,12/8/17,106.5266202
111,12/9/17,106.5445201
111,12/10/17,106.562419
111,12/11/17,106.5737802
111,12/12/17,106.5086068
111,12/13/17,106.5826248
111,12/14/17,106.6228541
111,12/15/17,106.6474392
111,12/16/17,106.6664775
111,12/17/17,106.6855147
111,12/18/17,106.7011102
111,12/19/17,106.7340511
111,12/20/17,106.7264511
111,12/21/17,106.7269976
111,12/22/17,106.700193
111,12/23/17,106.7159637
111,12/24/17,106.7346187
111,12/25/17,106.7532726
111,12/26/17,106.7399979
111,12/27/17,106.7923273
111,12/28/17,106.8009741
111,12/29/17,106.874981
111,12/30/17,106.9533932
111,12/31/17,107.0611025
111,1/1/18,107.0880236
111,1/2/18,107.0926828
111,1/3/18,107.1392631
111,1/4/18,107.1514415
111,1/5/18,107.1689421
111,1/6/18,107.1879386
111,1/7/18,107.206934
111,1/8/18,107.2106992
111,1/9/18,107.2236398
111,1/10/18,107.2500332
111,1/11/18,105.9254628
111,1/12/18,105.9444027
111,1/13/18,105.9630605
111,1/14/18,105.9817173
111,1/15/18,105.9971833
111,1/16/18,105.9986531
111,1/17/18,106.0098351
111,1/18/18,106.027122
111,1/19/18,106.0304568
111,1/20/18,106.0463141
111,1/21/18,106.0621705
111,1/22/18,106.0952271
111,1/23/18,106.0965254
111,1/24/18,106.1014571
111,1/25/18,106.1104793
111,1/26/18,106.1028501
111,1/27/18,106.1189637
111,1/28/18,106.1350763
111,1/29/18,106.1511881
111,1/30/18,106.1561093
111,1/31/18,106.149142
111,2/1/18,106.1827457
111,2/2/18,106.2053332
111,2/3/18,106.2349544
111,2/4/18,106.2645741
111,2/5/18,106.2859674
111,2/6/18,106.2732946
111,2/7/18,106.2768118
111,2/8/18,106.286842
111,2/9/18,106.3046811
111,2/10/18,106.3310818
111,2/11/18,106.3574811
111,2/12/18,106.3585107
111,2/13/18,106.3655248
111,2/14/18,106.3601203
111,2/15/18,106.3729915
111,2/16/18,106.3856694
111,2/17/18,106.4116546
111,2/18/18,106.4376384
111,2/19/18,106.4494938
111,2/20/18,106.4634964
111,2/21/18,106.4706923
111,2/22/18,106.4902004
111,2/23/18,106.5179934
111,2/24/18,106.5438251
111,2/25/18,106.5696554
111,2/26/18,106.597681
111,2/27/18,106.6254036
111,2/28/18,106.6511304
111,3/1/18,106.6755218
111,3/2/18,106.6874665
111,3/3/18,106.7118184
111,3/4/18,106.7361689
111,3/5/18,106.7414989
111,3/6/18,106.7643522
111,3/7/18,106.7787224
111,3/8/18,106.7887555
111,3/9/18,106.8028404
111,3/10/18,106.8241129
111,3/11/18,106.8453841
111,3/12/18,106.8471546
111,3/13/18,106.8666749
111,3/14/18,106.8833015
111,3/15/18,106.8991568
111,3/16/18,106.9148558
111,3/17/18,106.9361183
111,3/18/18,106.9573797
111,3/19/18,106.9729417
111,3/20/18,106.987836
111,3/21/18,107.0030466
111,3/22/18,107.0212698
111,3/23/18,107.040794
111,3/24/18,107.0620344
111,3/25/18,107.0832735
111,3/26/18,107.1020933
111,3/27/18,107.1229382
111,3/28/18,107.1429361
111,3/29/18,107.1619048
111,3/30/18,107.1809062
111,3/31/18,107.1888037
111,4/1/18,107.2165066
111,4/2/18,107.230376
111,4/3/18,107.2437922
111,4/4/18,107.2599797
111,4/5/18,107.2776105
111,4/6/18,107.2947122
111,4/7/18,107.315425
111,4/8/18,107.3361367
111,4/9/18,105.9826556
111,4/10/18,105.9991713
111,4/11/18,106.016474
111,4/12/18,106.0331499
111,4/13/18,106.05217
111,4/14/18,106.0726507
111,4/15/18,106.0931304
111,4/16/18,106.1134351
111,4/17/18,106.1337464
111,4/18/18,106.1541513
111,4/19/18,106.1746352
111,4/20/18,106.1950831
111,4/21/18,106.2155996
111,4/22/18,106.2361149
111,4/23/18,106.2563986
111,4/24/18,106.2770956
111,4/25/18,106.2977534
111,4/26/18,106.3168979
111,4/27/18,106.3362291
111,4/28/18,106.3555775
111,4/29/18,106.3749248
111,4/30/18,106.3957902
111,5/1/18,106.4131539
111,5/2/18,106.4298621
111,5/3/18,106.4466391
111,5/4/18,106.463441
111,5/5/18,106.4802679
111,5/6/18,106.4970939
111,5/7/18,106.5138903
111,5/8/18,106.5308188
111,5/9/18,106.547616
111,5/10/18,106.5643356
111,5/11/18,106.5811327
111,5/12/18,106.5979548
111,5/13/18,106.6147761
111,5/14/18,106.6307696
111,5/15/18,106.6519748
111,5/16/18,106.6739616
111,5/17/18,106.6965171
111,5/18/18,106.7182526
111,5/19/18,106.7400641
111,5/20/18,106.7618743
111,5/21/18,106.783632
111,5/22/18,106.8055176
111,5/23/18,106.8272745
111,5/24/18,106.8491072
111,5/25/18,106.8708358
111,5/26/18,106.8926431
